"Part";"Value";"Device";"Package";"Description";"MPN";"PROD_ID";"SF_ID";"SKU";"VALUE";
"3.3V-VR";"V_REG_LD1117VXX";"V_REG_LD1117VXX";"78XXL";"LD1117VXX voltage regulator. We carry the 3.3V version (COM-00526) in TO-220 package.";"";"";"";"";"";
"5V-VR";"5V";"V_REG_78XX-TO-220";"TO-220-ALT";"Voltage Regulator";"";"VREG-08450";"COM-00107";"";"";
"12VIN";"12V";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"";"CONN-09863";"";"PRT-09914";"";
"12VO";"12V";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"";"CONN-09863";"";"PRT-09914";"";
"ATMEGA328";"ZIFSOCKET-28-3ZIFFSOCKET-28-3";"ZIFSOCKET-28-3ZIFFSOCKET-28-3";"DIL28-3-ZIF_SOCKET";"Lever-action ZIF socket for 28-pin ICs";"";"";"";"";"";
"CAPACITOR-16HZ";"16MHZ";"DIP-CRYSTAL-16MHZ-18PF-30PPM-50R(HC49US)";"HC49US";"306010037";"49S/18PF";"";"";"";"16MHZ";
"CAPACITOR-22PF-1";"22pf";"DIP-ALUMINUM-47UF-16V(D5-H7MM)";"PC-D5.3MM";"302030033";"KS 100uF/16V";"";"";"";"100uf";
"CAPACITOR-22PF-2";"22pf";"DIP-ALUMINUM-47UF-16V(D5-H7MM)";"PC-D5.3MM";"302030033";"KS 100uF/16V";"";"";"";"100uf";
"D1";"504BW";"DIP-LED-BLUE-BLUE(2P-D5MM)";"LED2-2.54-D5.0MM";"304090062";"504BW";"";"";"";"504BW";
"K1";"12V";"RELAY-HLS8L-DC5V-S-CHLS8L-DC5V-S-C";"REY5-19.0X15.0X15.0MM";"315030000";"";"";"";"";"";
"NRF8001";"3.3V";"M10SILK_FEMALE_PTH";"1X10";"Header 10";"";"CONN-11563";"";"";"";
"R1";"220R";"DIP-RES-220R-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"301020011";"FHCFR-1/4W-221J";"";"";"";"220R";
"R2";"220R";"DIP-RES-220R-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"301020011";"FHCFR-1/4W-221J";"";"";"";"220R";
"R3";"1M";"DIP-RES-1M-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"301020005";"FHCFR-1/4W-105J";"";"";"";"1M";
"R6";"220R";"DIP-RES-220R-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"301020011";"FHCFR-1/4W-221J";"";"";"";"220R";
"RED-LED";"SR302DC";"DIP-LED-RED-RED(2P-D3MM)";"LED2-2.54-D3.0MM";"304090041";"SR302DC";"";"";"";"SR302DC";
"RED-LED1";"SR302DC";"DIP-LED-RED-RED(2P-D3MM)";"LED2-2.54-D3.0MM";"304090041";"SR302DC";"";"";"";"SR302DC";
"RESET-BUTTON";"TS-1101F";"DIP-BUTTON(2P-6.0X3.0X4.3MM)-TS-1101F";"SW2-5.0-6.0X3.0X4.3MM";"311020025";"TS-1101F";"";"";"";"TS-1101F";
